Diagnostico_Codigo;Diagnostico_Desc
C028;LESIÓN DE SITIOS CONTIGUOS DE LA LENGUA
N47;PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS
E840;FIBROSIS QUÍSTICA CON MANIFESTACIONES PULMONARES
K029;CARIES DENTAL, NO ESPECIFICADA
S635;ESGUINCE Y TORCEDURA DE LA MUÑECA
D221;NEVO MELANOCÍTICO DEL PÁRPADO, INCLUIDA LA COMISURA PALPEBRAL
S015;HERIDA DEL LABIO Y DE LA CAVIDAD BUCAL
O009;EMBARAZO ECTÓPICO, NO ESPECIFICADO
S429;FRACTURA DEL HOMBRO Y DEL BRAZO, PARTE NO ESPECIFICADA
T150;CUERPO EXTRAÑO EN LA CÓRNEA
K579;ENFERMEDAD DIVERTICULAR DEL INTESTINO, PARTE NO ESPECIFICADA, SIN PERFORACIÓN NI ABSCESO
E042;BOCIO MULTINODULAR NO TÓXICO
Q443;ESTRECHEZ Y ESTENOSIS CONGÉNITA DE LOS CONDUCTOS BILIARES
O211;HIPEREMESIS GRAVÍDICA CON TRASTORNOS METABÓLICOS
W229;GOLPE CONTRA O GOLPEADO POR OTROS OBJETOS, EN LUGAR NO ESPECIFICADO
M236;OTRA RUPTURA ESPONTÁNEA DEL (DE LOS) LIGAMENTO(S) DE LA RODILLA
S009;TRAUMATISMO SUPERFICIAL DE LA CABEZA, PARTE NO ESPECIFICADA
T172;CUERPO EXTRAÑO EN LA FARINGE
J157;NEUMONÍA DEBIDA A MYCOPLASMA PNEUMONIAE
C445;TUMOR MALIGNO DE LA PIEL DEL TRONCO
Q181;SENO Y QUISTE PREAURICULAR
J984;OTROS TRASTORNOS DEL PULMÓN
E86X;DEPLECIÓN DEL VOLUMEN
R91X;HALLAZGOS ANORMALES EN DIAGNÓSTICO POR IMAGEN DEL PULMÓN
E669;OBESIDAD, NO ESPECIFICADA
S508;OTROS TRAUMATISMOS SUPERFICIALES DEL ANTEBRAZO
I880;LINFADENITIS MESENTÉRICA INESPECÍFICA
C169;TUMOR MALIGNO DEL ESTÓMAGO, PARTE NO ESPECIFICADA
K819;COLECISTITIS, NO ESPECIFICADA
H359;TRASTORNO DE LA RETINA, NO ESPECIFICADO
I219;INFARTO AGUDO DEL MIOCARDIO, SIN OTRA ESPECIFICACIÓN
Z769;PERSONAS EN CONTACTO CON LOS SERVICIOS DE SALUD EN CIRCUNSTANCIAS NO ESPECIFICADAS
C833;LINFOMA NO HODGKIN DE CÉLULAS GRANDES (DIFUSO)
D367;TUMOR BENIGNO DE OTROS SITIOS ESPECIFICADOS
S100;CONTUSIÓN DE LA GARGANTA
N188;OTRAS INSUFICIENCIAS RENALES CRÓNICAS
C312;TUMOR MALIGNO DEL SENO FRONTAL
C760;TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO
L309;DERMATITIS, NO ESPECIFICADA
N819;PROLAPSO GENITAL FEMENINO, NO ESPECIFICADO
J418;BRONQUITIS CRÓNICA MIXTA SIMPLE Y MUCOPURULENTA
K509;ENFERMEDAD DE CROHN, NO ESPECIFICADA
S229;FRACTURA DEL TÓRAX ÓSEO, PARTE NO ESPECIFICADA
N200;CÁLCULO DEL RIÑÓN
O358;ATENCIÓN MATERNA POR OTRAS (PRESUNTAS) ANORMALIDADES Y LESIONES FETALES
E111;DIABETES MELLITUS NO INSULINODEPENDIENTE, CON CETOACIDOSIS
Z351;SUPERVISIÓN DE EMBARAZO CON HISTORIA DE ABORTO
M009;ARTRITIS PIÓGENA, NO ESPECIFICADA
M419;ESCOLIOSIS, NO ESPECIFICADA
S422;FRACTURA DE LA EPÍFISIS SUPERIOR DEL HÚMERO
M069;ARTRITIS REUMATOIDE, NO ESPECIFICADA
K805;CÁLCULO DE CONDUCTO BILIAR SIN COLANGITIS NI COLECISTITIS
L42;PITIRIASIS ROSADA
H431;HEMORRAGIA DEL VÍTREO
N909;TRASTORNO NO INFLAMATORIO DE LA VULVA Y DEL PERINEO, NO ESPECIFICADO
H026;XANTELASMA DEL PÁRPADO
Z318;OTRA ATENCIÓN ESPECIFICADA PARA LA PROCREACIÓN
I688;OTROS TRASTORNOS CEREBROVASCULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H650;OTITIS MEDIA AGUDA SEROSA
G588;OTRAS MONONEUROPATÍAS ESPECIFICADAS
J459;ASMA, NO ESPECIFICADA
D000;CARCINOMA IN SITU DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA FARINGE
I950;HIPOTENSIÓN IDIOPÁTICA
M502;OTROS DESPLAZAMIENTOS DE DISCO CERVICAL
R270;ATAXIA, NO ESPECIFICADA
R454;IRRITABILIDAD Y ENOJO
O820;PARTO POR CESÁREA ELECTIVA
O470;FALSO TRABAJO DE PARTO ANTES DE LAS 37 SEMANAS COMPLETAS DE GESTACIÓN
M461;SACROILIÍTIS, NO CLASIFICADA EN OTRA PARTE
A281;ENFERMEDAD POR RASGUÑO DE GATO
S534;ESGUINCES Y TORCEDURAS DEL CODO
Z316;CONSEJO Y ASESORAMIENTO GENERAL SOBRE LA PROCREACIÓN
E350;TRASTORNOS DE LA GLÁNDULA TIROIDES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
Q381;ANQUILOGLOSIA
K269;ULCERA DUODENAL, NO ESPECIFICADA COMO AGUDA NI CRÓNICA, SIN HEMORRAGIA NI PERFORACIÓN
M013;ARTRITIS EN OTRAS ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
D169;TUMOR BENIGNO DEL HUESO Y DEL CARTÍLAGO ARTICULAR, SITIO NO ESPECIFICADO
Z001;CONTROL DE SALUD DE RUTINA DEL NIÑO
C259;TUMOR MALIGNO DEL PÁNCREAS, PARTE NO ESPECIFICADA
N832;OTROS QUISTES OVÁRICOS Y LOS NO ESPECIFICADOS
E890;HIPOTIROIDISMO CONSECUTIVO A PROCEDIMIENTOS
K85X;PANCREATITIS AGUDA
H211;OTROS TRASTORNOS VASCULARES DEL IRIS Y DEL CUERPO CILIAR
F064;TRASTORNO DE ANSIEDAD, ORGÁNICO
I528;OTROS TRASTORNOS CARDÍACOS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
C439;MELANOMA MALIGNO DE PIEL, SITIO NO ESPECIFICADO
M232;TRASTORNO DE MENISCO DEBIDO A DESGARRO O LESIÓN ANTIGUA
R31X;HEMATURIA, NO ESPECIFICADA
M993;ESTENOSIS ÓSEA DEL CANAL NEURAL
R418;OTROS SÍNTOMAS Y SIGNOS QUE INVOLUCRAN LA FUNCIÓN COGNOSCITIVA Y LA CONCIENCIA Y LOS NO ESPECIFICADOS
H048;OTROS TRASTORNOS ESPECIFICADOS DEL APARATO LAGRIMAL
I714;ANEURISMA DE LA AORTA ABDOMINAL, SIN MENCIÓN DE RUPTURA
S088;AMPUTACIÓN TRAUMÁTICA DE OTRAS PARTES DE LA CABEZA
S526;FRACTURA DE LA EPÍFISIS INFERIOR DEL CÚBITO Y DEL RADIO
C501;TUMOR MALIGNO DE LA PORCIÓN CENTRAL DE LA MAMA
Z139;EXAMEN DE PESQUISA ESPECIAL, NO ESPECIFICADO
W578;MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTRÓPODOS NO VENENOSOS, EN OTRO LUGAR ESPECIFICADO
C518;LESIÓN DE SITIOS CONTIGUOS DE LA VULVA
M712;QUISTE SINOVIAL DEL HUECO POPLÍTEO [DE BAKER]
H019;INFLAMACIÓN DEL PÁRPADO, NO ESPECIFICADA
H279;TRASTORNO DEL CRISTALINO, NO ESPECIFICADO
T338;CONGELAMIENTO SUPERFICIAL DEL TOBILLO Y DEL PIE
C446;TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO
H653;OTITIS MEDIA CRÓNICA MUCOIDE
N328;OTROS TRASTORNOS ESPECIFICADOS DE LA VEJIGA
H818;OTROS TRASTORNOS DE LA FUNCIÓN VESTIBULAR
W544;MORDEDURA O ATAQUE DE PERRO, EN CALLES Y CARRETERAS
I158;OTROS TIPOS DE HIPERTENSIÓN SECUNDARIA
P284;OTRAS APNEAS DEL RECIÉN NACIDO
M619;CALCIFICACIÓN Y OSIFICACIÓN DEL MÚSCULO, NO ESPECIFICADA
G441;CEFALEA VASCULAR, NCOP
S079;TRAUMATISMO POR APLASTAMIENTO DE LA CABEZA, PARTE NO ESPECIFICADA
N319;DISFUNCIÓN NEUROMUSCULAR DE LA VEJIGA, NO ESPECIFICADA
H059;TRASTORNO DE LA ÓRBITA, NO ESPECIFICADO
S836;ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA RODILLA
S026;FRACTURA DEL MAXILAR INFERIOR
D172;TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTÁNEO DE MIEMBROS
S374;TRAUMATISMO DEL OVARIO
K30X;DISPEPSIA
K573;ENFERMEDAD DIVERTICULAR DEL INTESTINO GRUESO SIN PERFORACIÓN NI ABSCESO
K824;COLESTEROLOSIS DE LA VESÍCULA BILIAR
D236;TUMOR BENIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO
L049;LINFADENITIS AGUDA DE SITIO NO ESPECIFICADO
D166;TUMOR BENIGNO DE LA COLUMNA VERTEBRAL
M410;ESCOLIOSIS IDIOPÁTICA INFANTIL
T789;EFECTO ADVERSO NO ESPECIFICADO
S134;ESGUINCES Y TORCEDURAS DE LA COLUMNA CERVICAL
L82;QUERATOSIS SEBORREICA
J841;OTRAS ENFERMEDADES PULMONARES INTERSTICIALES CON FIBROSIS
A689;FIEBRE RECURRENTE, NO ESPECIFICADA
W320;DISPARO DE ARMA CORTA, EN VIVIENDA
D213;TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL TÓRAX
S069;TRAUMATISMO INTRACRANEAL, NO ESPECIFICADO
H504;OTRAS HETEROTROPÍAS O LAS NO ESPECIFICADAS
F019;DEMENCIA VASCULAR, NO ESPECIFICADA
M231;MENISCO DISCOIDE (CONGÉNITO)
N930;HEMORRAGIA POSTCOITO Y POSTCONTACTO
L732;HIDRADENITIS SUPURATIVA
M548;OTRAS DORSALGIAS
H406;GLAUCOMA SECUNDARIO A DROGAS
T300;QUEMADURA DE REGIÓN DEL CUERPO Y GRADO NO ESPECIFICADOS
M659;SINOVITIS Y TENOSINOVITIS, NO ESPECIFICADA
Z519;ATENCIÓN MÉDICA, NO ESPECIFICADA
W509;APORREO, GOLPE, MORDEDURA, PATADA, RASGUÑO O TORCEDURA INFLIGIDOS POR OTRA PERSONA, EN LUGAR NO ESPECIFICADO
C502;TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA
Q661;TALIPES CALCANEOVARUS
N808;OTRAS ENDOMETRIOSIS
D022;CARCINOMA IN SITU DEL BRONQUIO Y DEL PULMÓN
S120;FRACTURA DE LA PRIMERA VÉRTEBRA CERVICAL
F321;EPISODIO DEPRESIVO MODERADO
O620;CONTRACCIONES PRIMARIAS INADECUADAS
F328;OTROS EPISODIOS DEPRESIVOS
M214;PIE PLANO [PES PLANUS] (ADQUIRIDO)
N62X;HIPERTROFIA DE LA MAMA
N768;OTRAS INFLAMACIONES ESPECIFICADAS DE LA VAGINA Y DE LA VULVA
I200;ANGINA INESTABLE
M752;TENDINITIS DEL BÍCEPS
I863;VÁRICES DE LA VULVA
D227;NEVO MELANOCÍTICO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA
D216;TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y OTROS TEJIDOS BLANDOS DEL TRONCO, SIN OTRA ESPECIFICACIÓN
L023;ABSCESO CUTÁNEO, FURÚNCULO Y CARBUNCO DE GLÚTEOS
L658;OTRAS PÉRDIDAS ESPECIFICADAS NO CICATRICIALES DEL PELO
K528;OTRAS COLITIS Y GASTROENTERITIS NO INFECCIOSAS ESPECIFICADAS
L059;QUISTE PILONIDAL SIN ABSCESO
Z124;EXAMEN DE PESQUISA ESPECIAL PARA TUMOR DEL CUELLO UTERINO
H900;HIPOACUSIA CONDUCTIVA BILATERAL
C690;TUMOR MALIGNO DE LA CONJUNTIVA
H598;OTROS TRASTORNOS DEL OJO Y SUS ANEXOS, CONSECUTIVOS A PROCEDIMIENTOS
O639;TRABAJO DE PARTO PROLONGADO, NO ESPECIFICADO
S444;TRAUMATISMO DEL NERVIO MUSCULOCUTÁNEO
D173;TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTÁNEO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
R501;FIEBRE PERSISTENTE
D24X;TUMOR BENIGNO DE LA MAMA
F445;CONVULSIONES DISOCIATIVAS
B230;SÍNDROME DE INFECCIÓN AGUDA DEBIDA A VIH
T814;INFECCIÓN CONSECUTIVA A PROCEDIMIENTO, NO CLASIFICADA EN OTRA PARTE
B960;MYCOPLASMA PNEUMONIAE [M. PNEUMONIAE] COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS
M139;ARTRITIS, NO ESPECIFICADA
E678;OTROS TIPOS DE HIPERALIMENTACIÓN ESPECIFICADOS
E232;DIABETES INSÍPIDA
H819;TRASTORNO DE LA FUNCIÓN VESTIBULAR, NO ESPECIFICADO
H931;TINNITUS
D012;CARCINOMA IN SITU DEL RECTO
C449;TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO
I868;VÁRICES EN OTROS SITIOS ESPECIFICADOS
O269;COMPLICACIÓN RELACIONADA CON EL EMBARAZO, NO ESPECIFICADA
C058;LESIÓN DE SITIOS CONTIGUOS DEL PALADAR
O410;OLIGOHIDRAMNIOS
R224;TUMEFACCIÓN, MASA O PROMINENCIA LOCALIZADA EN EL MIEMBRO INFERIOR
M210;DEFORMIDAD EN VALGO, NO CLASIFICADA EN OTRA PARTE
I269;EMBOLIA PULMONAR SIN MENCIÓN DE CORAZÓN PULMONAR AGUDO
B088;OTRAS INFECCIONES VIRALES ESPECIFICADAS, CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
W110;CAÍDA EN O DESDE ESCALERAS MANUALES, EN VIVIENDA
G442;CEFALEA DEBIDA A TENSIÓN
H188;OTROS TRASTORNOS ESPECIFICADOS DE LA CÓRNEA
G403;EPILEPSIA Y SÍNDROMES EPILÉPTICOS IDIOPÁTICOS GENERALIZADOS
D039;MELANOMA IN SITU, SITIO NO ESPECIFICADO
T490;DROGAS LOCALES ANTIMICÓTICAS, ANTIINFECCIOSAS Y ANTIINFLAMATORIAS, NO CLASIFICADAS EN OTRA PARTE
O469;HEMORRAGIA ANTEPARTO, NO ESPECIFICADA
M541;RADICULOPATÍA
F331;TRASTORNO DEPRESIVO RECURRENTE, EPISODIO MODERADO PRESENTE
S898;OTROS TRAUMATISMOS DE LA PIERNA, ESPECIFICADOS
D443;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLÁNDULA HIPÓFISIS
K508;OTROS TIPOS DE ENFERMEDAD DE CROHN
H82X;SÍNDROMES VERTIGINOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K801;CÁLCULO DE LA VESÍCULA BILIAR CON OTRA COLECISTITIS
M089;ARTRITIS JUVENIL, NO ESPECIFICADA
L708;OTROS ACNÉS
N310;VEJIGA NEUROPÁTICA NO INHIBIDA, NO CLASIFICADA EN OTRA PARTE
G009;MENINGITIS BACTERIANA, NO ESPECIFICADA
O328;ATENCIÓN MATERNA POR OTRAS PRESENTACIONES ANORMALES DEL FETO
S751;TRAUMATISMO DE LA VENA FEMORAL A NIVEL DE LA CADERA Y DEL MUSLO
L728;OTROS QUISTES FOLICULARES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO
M942;CONDROMALACIA
R53;MALESTAR Y FATIGA
Q780;OSTEOGÉNESIS IMPERFECTA
M999;LESIÓN BIOMECÁNICA, NO ESPECIFICADA
S005;TRAUMATISMO SUPERFICIAL DEL LABIO Y DE LA CAVIDAD BUCAL
H500;ESTRABISMO CONCOMITANTE CONVERGENTE
P050;BAJO PESO PARA LA EDAD GESTACIONAL
S611;HERIDA DE DEDO(S) DE LA MANO, CON DAÑO DE LA(S) UÑA(S)
C329;TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA
D699;AFECCIÓN HEMORRÁGICA, NO ESPECIFICADA
H027;OTROS TRASTORNOS DEGENERATIVOS DEL PÁRPADO Y DEL ÁREA PERIOCULAR
H599;TRASTORNO NO ESPECIFICADO DEL OJO Y SUS ANEXOS, CONSECUTIVO A PROCEDIMIENTOS
E048;OTROS BOCIOS NO TÓXICOS ESPECIFICADOS
H108;OTRAS CONJUNTIVITIS
H664;OTITIS MEDIA SUPURATIVA, SIN OTRA ESPECIFICACIÓN
C496;TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TRONCO, SIN OTRA ESPECIFICACIÓN
O369;ATENCIÓN MATERNA POR PROBLEMAS FETALES NO ESPECIFICADOS
S028;FRACTURA DE OTROS HUESOS DEL CRÁNEO Y DE LA CARA
D252;LEIOMIOMA SUBSEROSO DEL ÚTERO
H588;OTROS TRASTORNOS ESPECIFICADOS DEL OJO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G459;ISQUEMIA CEREBRAL TRANSITORIA, SIN OTRA ESPECIFICACIÓN
H448;OTROS TRASTORNOS DEL GLOBO OCULAR
G470;TRASTORNOS DEL INICIO Y DEL MANTENIMIENTO DEL SUEÑO [INSOMNIOS]
E101;DIABETES MELLITUS INSULINODEPENDIENTE, CON CETOACIDOSIS
F454;TRASTORNO DE DOLOR PERSISTENTE SOMATOMORFO
N72X;ENFERMEDAD INFLAMATORIA DEL CUELLO UTERINO
M799;TRASTORNO DE LOS TEJIDOS BLANDOS, NO ESPECIFICADO
C719;TUMOR MALIGNO DEL ENCÉFALO, PARTE NO ESPECIFICADA
M707;OTRAS BURSITIS DE LA CADERA
M770;EPICONDILITIS MEDIA
Q656;CADERA INESTABLE
S722;FRACTURA SUBTROCANTERIANA
D693;PÚPURA TROMBOCITOPÉNICA IDIOPÁTICA
H907;HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL, UNILATERAL CON AUDICIÓN IRRESTRICTA CONTRALATERAL
G912;HIDROCÉFALO DE PRESIÓN NORMAL
Y849;PROCEDIMIENTO MÉDICO NO ESPECIFICADO
H330;DESPRENDIMIENTO DE LA RETINA CON RUPTURA
R53X;MALESTAR Y FATIGA
E876;HIPOPOTASMIA
S621;FRACTURA DE OTRO(S) HUESO(S) DEL CARPO
J45X;ASMA
C920;LEUCEMIA MIELOIDE AGUDA
L918;OTROS TRASTORNOS HIPERTRÓFICOS DE LA PIEL
M792;NEURALGIA Y NEURITIS, NO ESPECIFICADAS
D048;CARCINOMA IN SITU DE LA PIEL DE OTROS SITIOS ESPECIFICADOS
I20X;ANGINA DE PECHO
M704;OTRAS BURSITIS PRERROTULIANAS
F432;TRASTORNOS DE ADAPTACIÓN
M769;ENTESOPATÍA DEL MIEMBRO INFERIOR, NO ESPECIFICADA
E107;DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES MÚLTIPLES
T158;CUERPO EXTRAÑO EN OTRAS Y EN MÚLTIPLES PARTES DE LA PARTE EXTERNA DEL OJO
E881;LIPODISTROFIA, NO CLASIFICADA EN OTRA PARTE
S097;TRAUMATISMOS MÚLTIPLES DE LA CABEZA
S730;LUXACIÓN DE LA CADERA
D310;TUMOR BENIGNO DE LA CONJUNTIVA
E115;DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES CIRCULATORIAS PERIFÉRICAS
N44X;TORSIÓN DEL TESTÍCULO
M119;ARTROPATÍA POR CRISTALES, NO ESPECIFICADA
T149;TRAUMATISMO, NO ESPECIFICADO
M138;OTRAS ARTRITIS ESPECIFICADAS
H114;OTROS TRASTORNOS VASCULARES Y QUISTES CONJUNTIVALES
K298;DUODENITIS
S728;FRACTURAS DE OTRAS PARTES DEL FÉMUR
J204;BRONQUITIS AGUDA DEBIDA A VIRUS PARAINFLUENZA
L811;CLOASMA
M430;ESPONDILÓLISIS
B353;TIÑA DEL PIE [TINEA PEDIS]
R391;OTRAS DIFICULTADES DE LA MICCIÓN
N220;LITIASIS URINARIA EN ESQUISTOSOMIASIS [BILHARZIASIS] (B65.-+)
R17X;ICTERICIA NO ESPECIFICADA
D442;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLÁNDULA PARATIROIDES
H058;OTROS TRASTORNOS DE LA ÓRBITA
N809;ENDOMETRIOSIS, NO ESPECIFICADA
K622;PROLAPSO ANAL
N758;OTRAS ENFERMEDADES DE LA GLÁNDULA DE BARTHOLIN
L509;URTICARIA, NO ESPECIFICADA
D729;TRASTORNO DE LOS LEUCOCITOS, NO ESPECIFICADO
E282;SÍNDROME DE OVARIO POLIQUÍSTICO
H506;ESTRABISMO MECÁNICO
L088;OTRAS INFECCIONES LOCALES ESPECIFICADAS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO
I351;INSUFICIENCIA (DE LA VÁLVULA) AÓRTICA
T700;BAROTRAUMA OTÍTICO
N736;ADHERENCIAS PERITONEALES PÉLVICAS FEMENINAS
Q401;HERNIA HIATAL CONGÉNITA
F801;TRASTORNO DEL LENGUAJE EXPRESIVO
Q822;MASTOCITOSIS
O324;ATENCIÓN MATERNA POR CABEZA ALTA EN GESTACIÓN A TÉRMINO
Q700;FUSIÓN DE LOS DEDOS DE LA MANO
H543;DISMINUCIÓN INDETERMINADA DE LA AGUDEZA VISUAL EN AMBOS OJOS
S234;ESGUINCES Y TORCEDURAS DE COSTILLAS Y ESTERNÓN
G576;LESIÓN DEL NERVIO PLANTAR
N136;PIONEFROSIS
E713;TRASTORNOS DEL METABOLISMO DE LOS ÁCIDOS GRASOS
L219;DERMATITIS SEBORREICA, NO ESPECIFICADA
R070;DOLOR DE GARGANTA
D500;ANEMIA POR DEFICIENCIA DE HIERRO SECUNDARIA A PÉRDIDA DE SANGRE (CRÓNICA)
H186;QUERATOCONO
G909;TRASTORNO DEL SISTEMA NERVIOSO AUTÓNOMO, NO ESPECIFICADO
I849;HEMORROIDES NO ESPECIFICADAS, SIN COMPLICACIÓN
C099;TUMOR MALIGNO DE LA AMÍGDALA, PARTE NO ESPECIFICADA
J36X;ABSCESO PERIAMIGDALINO
K259;ULCERA GÁSTRICA, NO ESPECIFICADA COMO AGUDA NI CRÓNICA, SIN HEMORRAGIA NI PERFORACIÓN
N825;FÍSTULA DEL TRACTO GENITAL FEMENINO A LA PIEL
T250;QUEMADURA DEL TOBILLO Y DEL PIE, GRADO NO ESPECIFICADO
F130;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNÓTICOS, INTOXICACIÓN AGUDA
R440;ALUCINACIONES AUDITIVAS
N841;PÓLIPO DEL CUELLO DEL ÚTERO
D129;TUMOR BENIGNO DEL CONDUCTO ANAL Y DEL ANO
M253;OTRAS INESTABILIDADES ARTICULARES
I255;CARDIOMIOPATÍA ISQUÉMICA
S798;OTROS TRAUMATISMOS ESPECIFICADOS DE LA CADERA Y DEL MUSLO
C820;LINFOMA NO HODGKIN DE CÉLULAS PEQUEÑAS HENDIDAS, FOLICULAR
S434;ESGUINCES Y TORCEDURAS DE LA ARTICULACIÓN DEL HOMBRO
N835;TORSIÓN DE OVARIO, PEDÍCULO DE OVARIO Y TROMPA DE FALOPIO
R935;HALLAZGOS ANORMALES EN DIAGNÓSTICO POR IMAGEN DE OTRAS REGIONES ABDOMINALES, INCLUIDO EL RETROPERITONEO
K604;FÍSTULA RECTAL
M303;SÍNDROME MUCOCUTÁNEO LINFONODULAR [KAWASAKI]
D170;TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTÁNEO DE CABEZA, CARA Y CUELLO
R631;POLIDIPSIA
N488;OTROS TRASTORNOS ESPECIFICADOS DEL PENE
N946;DISMENORREA, NO ESPECIFICADA
N399;TRASTORNO DEL SISTEMA URINARIO, NO ESPECIFICADO
J150;NEUMONÍA DEBIDA A KLEBSIELLA PNEUMONIAE
F018;OTRAS DEMENCIAS VASCULARES
O321;ATENCIÓN MATERNA POR PRESENTACIÓN DE NALGAS
M242;TRASTORNO DEL LIGAMENTO
D303;TUMOR BENIGNO DE LA VEJIGA
F329;EPISODIO DEPRESIVO, NO ESPECIFICADO
S709;TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO, NO ESPECIFICADO
K564;OTRAS OBSTRUCCIONES DEL INTESTINO
I212;INFARTO AGUDO TRANSMURAL DEL MIOCARDIO DE OTROS SITIOS
Z251;NECESIDAD DE INMUNIZACIÓN CONTRA LA INFLUENZA [GRIPE]
Z205;CONTACTO CON Y EXPOSICIÓN A HEPATITIS VIRAL
L032;CELULITIS DE LA CARA
A167;TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA
C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA
S668;TRAUMATISMO DE OTROS TENDONES Y MÚSCULOS A NIVEL DE LA MUÑECA Y DE LA MANO
I634;INFARTO CEREBRAL DEBIDO A EMBOLIA DE ARTERIAS CEREBRALES
-1;Sin Información
R34X;ANURIA Y OLIGURIA
J208;BRONQUITIS AGUDA DEBIDA A OTROS MICROORGANISMOS ESPECIFICADOS
O368;ATENCIÓN MATERNA POR OTROS PROBLEMAS FETALES ESPECIFICADOS
C09X;TUMOR MALIGNO DE LA AMÍGDALA
S931;LUXACIÓN DE DEDO(S) DEL PIE
K110;ATROFIA DE GLÁNDULA SALIVAL
J218;BRONQUIOLITIS AGUDA DEBIDA A OTROS MICROORGANISMOS ESPECIFICADOS
L984;ULCERA CRÓNICA DE LA PIEL, NO CLASIFICADA EN OTRA PARTE
S335;ESGUINCES Y TORCEDURAS DE LA COLUMNA LUMBAR
C539;TUMOR MALIGNO DEL CUELLO DEL ÚTERO, SIN OTRA ESPECIFICACIÓN
M702;BURSITIS DEL OLÉCRANON
D420;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES CEREBRALES
S910;HERIDA DEL TOBILLO
L812;EFÉLIDE
F334;TRASTORNO DEPRESIVO RECURRENTE ACTUALMENTE EN REMISIÓN
D751;POLICITEMIA SECUNDARIA
S854;TRAUMATISMO DE LA VENA SAFENA EXTERNA A NIVEL DE LA PIERNA
T273;QUEMADURA DE LAS VÍAS RESPIRATORIAS, PARTE NO ESPECIFICADA
O308;OTROS EMBARAZOS MÚLTIPLES
F639;TRASTORNO DE LOS HÁBITOS Y DE LOS IMPULSOS, NO ESPECIFICADO
S834;ESGUINCES Y TORCEDURAS QUE COMPROMETEN LOS LIGAMENTOS LATERALES (EXTERNO) (INTERNO) DE LA RODILLA
S022;FRACTURA DE LOS HUESOS DE LA NARIZ
F259;TRASTORNO ESQUIZOAFECTIVO, NO ESPECIFICADO
G971;OTRA REACCIÓN A LA PUNCIÓN ESPINAL Y LUMBAR
B002;GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPÉTICA
P211;ASFIXIA DEL NACIMIENTO, LEVE Y MODERADA
C442;TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO
M224;CONDROMALACIA DE LA RÓTULA
R739;HIPERGLICEMIA, NO ESPECIFICADA
G478;OTROS TRASTORNOS DEL SUEÑO
T780;CHOQUE ANAFILÁCTICO DEBIDO A REACCIÓN ADVERSA A ALIMENTOS
